time,Vin,Vout
0.0,0.0,0.0030000000000001137
7.81e-10,4.91e-08,0.0030000000000001137
6.25e-09,3.93e-07,0.0030000000000001137
2.5e-08,1.57e-06,0.0030000000000001137
5e-08,3.14e-06,0.0030000000000001137
1e-07,6.28e-06,0.0030000000000001137
2e-07,1.26e-05,0.0030000000000001137
4e-07,2.51e-05,0.0030000000000001137
1.24e-05,0.000786,-0.027000000000000135
2.43e-05,0.00153,-0.04700000000000015
3.63e-05,0.00226,-0.06699999999999973
4.83e-05,0.00298,-0.08699999999999974
6.03e-05,0.00368,-0.10699999999999976
7.22e-05,0.00437,-0.12699999999999978
8.42e-05,0.00505,-0.1469999999999998
0.000104,0.00607,-0.18699999999999983
0.000123,0.00699,-0.20699999999999985
0.000143,0.00782,-0.2370000000000001
0.000162,0.00852,-0.2570000000000001
0.000182,0.0091,-0.27700000000000014
0.000201,0.00954,-0.2869999999999999
0.000221,0.00983,-0.29700000000000015
0.00024,0.00998,-0.30699999999999994
0.00026,0.00998,-0.30699999999999994
0.00028,0.00983,-0.29700000000000015
0.000299,0.00953,-0.2869999999999999
0.000319,0.00909,-0.27700000000000014
0.000338,0.00851,-0.2570000000000001
0.000358,0.0078,-0.2370000000000001
0.000377,0.00697,-0.20699999999999985
0.000397,0.00604,-0.17700000000000005
0.000416,0.00502,-0.1469999999999998
0.000436,0.00393,-0.11699999999999999
0.000455,0.00277,-0.08699999999999974
0.000494,0.000355,-0.007000000000000117
0.000533,-0.00208,0.06300000000000017
0.000553,-0.00327,0.09299999999999997
0.000572,-0.0044,0.133
0.000592,-0.00546,0.16300000000000026
0.000612,-0.00645,0.19300000000000006
0.000631,-0.00734,0.21300000000000008
0.000651,-0.00811,0.2330000000000001
0.00067,-0.00877,0.2530000000000001
0.00069,-0.00929,0.27300000000000013
0.000709,-0.00967,0.2829999999999999
0.000729,-0.00991,0.2829999999999999
0.000745,-0.00999,0.29300000000000015
0.000763,-0.00997,0.2829999999999999
0.000783,-0.00979,0.2829999999999999
0.000802,-0.00947,0.27300000000000013
0.000822,-0.009,0.2629999999999999
0.000841,-0.0084,0.24299999999999988
0.000861,-0.00768,0.22299999999999986
0.00088,-0.00683,0.20299999999999985
0.0009,-0.00589,0.17300000000000004
0.000919,-0.00485,0.14300000000000024
0.000939,-0.00375,0.11299999999999999
0.000958,-0.00258,0.07299999999999995
0.000997,-0.00016,0.0030000000000001137
0.00104,0.00227,-0.06699999999999973
0.00106,0.00345,-0.10699999999999976
0.00108,0.00457,-0.137
0.0011,0.00563,-0.16699999999999982
0.00111,0.0066,-0.19700000000000006
0.00113,0.00747,-0.22699999999999987
0.00115,0.00822,-0.2469999999999999
0.00117,0.00886,-0.2669999999999999
0.00119,0.00936,-0.2869999999999999
0.00121,0.00972,-0.29700000000000015
0.00123,0.00993,-0.30699999999999994
0.00125,0.01,-0.30699999999999994
0.00126,0.00996,-0.30699999999999994
0.00128,0.00978,-0.29700000000000015
0.0013,0.00945,-0.2869999999999999
0.00132,0.00897,-0.27700000000000014
0.00134,0.00837,-0.2570000000000001
0.00136,0.00763,-0.22699999999999987
0.00138,0.00678,-0.20699999999999985
0.0014,0.00583,-0.17700000000000005
0.00142,0.0048,-0.1469999999999998
0.00144,0.00369,-0.10699999999999976
0.00146,0.00252,-0.07699999999999996
0.0015,9.35e-05,0.0030000000000001137
0.00154,-0.00234,0.07299999999999995
0.00156,-0.00351,0.1030000000000002
0.00158,-0.00463,0.133
0.0016,-0.00568,0.16300000000000026
0.00162,-0.00665,0.19300000000000006
0.00164,-0.00751,0.22299999999999986
0.00165,-0.00826,0.24299999999999988
0.00167,-0.00889,0.2530000000000001
0.00169,-0.00938,0.27300000000000013
0.00171,-0.00974,0.2829999999999999
0.00173,-0.00994,0.2829999999999999
0.00175,-0.01,0.29300000000000015
0.00176,-0.00996,0.2829999999999999
0.00178,-0.00977,0.2829999999999999
0.0018,-0.00943,0.27300000000000013
0.00182,-0.00896,0.2629999999999999
0.00184,-0.00834,0.24299999999999988
0.00186,-0.00761,0.22299999999999986
0.00188,-0.00675,0.19300000000000006
0.0019,-0.0058,0.17300000000000004
0.00192,-0.00476,0.14300000000000024
0.00194,-0.00365,0.1030000000000002
0.00196,-0.00248,0.07299999999999995
0.00202,0.00117,-0.03699999999999992
0.00204,0.00238,-0.06699999999999973
0.00206,0.00355,-0.10699999999999976
0.00208,0.00467,-0.137
0.0021,0.00571,-0.17700000000000005
0.00212,0.00668,-0.19700000000000006
0.00214,0.00754,-0.22699999999999987
0.00216,0.00829,-0.2469999999999999
0.00217,0.00891,-0.2669999999999999
0.00219,0.0094,-0.2869999999999999
0.00221,0.00975,-0.29700000000000015
0.00223,0.00995,-0.30699999999999994
0.00225,0.01,-0.30699999999999994
0.00227,0.00995,-0.30699999999999994
0.00229,0.00976,-0.29700000000000015
0.0023,0.00941,-0.2869999999999999
0.00232,0.00893,-0.2669999999999999
0.00234,0.00831,-0.2570000000000001
0.00236,0.00757,-0.22699999999999987
0.00238,0.00671,-0.20699999999999985
0.0024,0.00575,-0.17700000000000005
0.00242,0.00471,-0.137
0.00244,0.00359,-0.10699999999999976
0.00246,0.00242,-0.06699999999999973
0.00252,-0.00123,0.03299999999999992
0.00254,-0.00244,0.07299999999999995
0.00256,-0.00361,0.1030000000000002
0.00258,-0.00472,0.14300000000000024
0.0026,-0.00576,0.17300000000000004
0.00262,-0.00672,0.19300000000000006
0.00264,-0.00758,0.22299999999999986
0.00266,-0.00832,0.24299999999999988
0.00268,-0.00894,0.2629999999999999
0.0027,-0.00942,0.27300000000000013
